location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Серпухов,2,14,2,38.4,6700000,2013,Вторичка,2 лоджии,Наземная,-1,-1,-1,17 м²,11 м²,-1,Серпухов, Ворошилова,
Серпухов,1,9,2,48.0,4200000,1981,Вторичка,-1,-1,-1,-1,-1,-1,11 м²,-1,Серпухов,проезд Мишина,
Серпухов,2,2,2,71.3,6700000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,28 м²,8 м²,-1,Серпухов,Советская ,
Серпухов,2,5,2,47.0,4999999,1972,Вторичка,1 лоджия,-1,-1,-1,-1,33 м²,"7,5 м²","2,7 м",Серпухов, Ворошилова,
Серпухов,4,14,2,64.0,9200000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,39 м²,"13,5 м²","2,7 м",Серпухов,Стадионная ,
Серпухов,1,2,2,40.0,3700000,1959,Вторичка,-1,Наземная,-1,-1,-1,27 м²,5 м²,"2,5 м",Серпухов,Октябрьская ,
Серпухов,2,5,2,47.0,4050000,1971,Вторичка,1 балкон,-1,-1,-1,-1,34 м²,"6,5 м²","2,6 м",Серпухов,Подольская ,
Серпухов,6,6,2,56.8,4950000,2004,Вторичка,-1,Наземная,-1,-1,-1,30 м²,10 м²,3 м,Серпухов, Карла Маркса,
Серпухов,1,5,2,44.7,3900000,1968,Вторичка,-1,-1,-1,-1,-1,"30,7 м²","5,8 м²",-1,Серпухов,Центральная ,
Серпухов,1,4,2,41.0,3499888,1962,Вторичка,-1,-1,-1,-1,-1,29 м²,6 м²,"2,7 м",Серпухов, Горького,
Серпухов,4,5,2,45.9,3850000,1969,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,6 м²,-1,Серпухов,Весенняя ,
Серпухов,4,9,2,52.0,7300000,-1,Вторичка,-1,-1,-1,-1,-1,38 м²,9 м²,-1,Красный Текстильщик мкр, Красный Текстильщик,
Серпухов,5,5,2,53.5,4999999,1973,Вторичка,1 лоджия,-1,-1,-1,-1,"28,9 м²",9 м²,-1,Серпухов, Энгельса,
Серпухов,1,5,2,46.0,4850000,-1,Вторичка,-1,Наземная,-1,-1,-1,26 м²,6 м²,"2,5 м",Серпухов,Осенняя ,
Серпухов,2,10,1,59.0,11300000,2011,Вторичка,1 лоджия,Наземная,-1,-1,-1,"18,1 м²",20 м²,3 м,Серпухов,Советская ,
Серпухов,2,9,1,38.4,4600000,1984,Вторичка,1 лоджия,Наземная,-1,-1,-1,15 м²,9 м²,-1,Серпухов,Комсомольская ,
Серпухов,4,6,1,38.9,4000000,2009,Вторичка,-1,Наземная,-1,-1,-1,13 м²,"11,2 м²","2,8 м",Серпухов, Химиков,
Серпухов,3,5,1,30.3,3500000,1972,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,"2,6 м",Серпухов,Западная ,
Дубна,5,5,1,33.0,3700000,-1,Вторичка,1 балкон,-1,-1,-1,-1,15 м²,6 м²,-1,Дубна, Правды,
Дубна,2,5,1,31.2,4900000,-1,Вторичка,-1,-1,-1,-1,-1,18 м²,7 м²,-1,Дубна, Мичурина,
Дубна,8,10,1,34.0,6000000,1970,Вторичка,1 лоджия,Наземная,-1,-1,-1,"18,2 м²","7,8 м²","2,6 м",Дубна, Строителей,
Дубна,5,9,1,50.0,9550000,2019,Вторичка,1 балкон,Наземная,-1,-1,-1,25 м²,10 м²,"2,7 м",Дубна, Программистов,
Дубна,1,5,1,30.0,4200000,1964,Вторичка,-1,Наземная,-1,-1,-1,16 м²,6 м²,"2,4 м",Дубна, Правды,
Дубна,4,4,1,31.3,5750000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,"2,7 м",Дубна, Курчатова,
Дубна,5,9,1,20.0,3700000,-1,Вторичка,-1,Наземная,-1,-1,-1,9 м²,5 м²,"2,4 м",Дубна,Хлебозаводской переулок,
Дубна,3,4,1,45.5,7100000,1956,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,10 м²,-1,Дубна,Октябрьская ,
Дубна,4,9,1,32.2,5210000,1978,Вторичка,-1,-1,-1,-1,-1,15 м²,6 м²,"2,6 м",Дубна, Энтузиастов,
Дубна,9,14,1,39.0,8100000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,17 м²,8 м²,-1,Дубна, Мичурина,
Дубна,5,9,1,29.0,5700000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,14 м²,8 м²,"2,5 м",Дубна,9 Мая ,
Дубна,1,9,1,20.3,3200000,1977,Вторичка,-1,Наземная,-1,-1,-1,"11,4 м²",4 м²,"2,4 м",Дубна,Хлебозаводской переулок,
Дубна,5,9,1,29.0,4500000,-1,Вторичка,-1,Наземная,-1,-1,-1,18 м²,5 м²,"2,4 м",Дубна,Хлебозаводской переулок,
Дубна,3,9,1,38.8,6500000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,20 м²,8 м²,-1,Дубна, Понтекорво,
Дубна,6,6,1,31.6,5800000,2003,Вторичка,-1,Наземная,-1,-1,-1,18 м²,"6,5 м²","2,5 м",Дубна,Первомайский проезд,
Дубна,3,4,1,32.3,5900000,1963,Вторичка,-1,Наземная,-1,-1,-1,18 м²,6 м²,-1,Дубна, В.И. Векслера,
Дубна,4,9,1,38.3,6100000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,"19,3 м²","7,5 м²",-1,Дубна, Энтузиастов,
Дубна,2,9,1,37.2,6200000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,"20,7 м²","7,9 м²",-1,Дубна, Энтузиастов,
Дубна,7,14,2,75.4,10103600,2025,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,,,
Дубна,8,9,2,59.0,9900000,-1,Вторичка,2 лоджии,Наземная,-1,-1,-1,-1,9 м²,-1,Дубна, Понтекорво,
Дубна,1,2,2,47.7,5500000,1952,Вторичка,-1,Наземная,-1,-1,-1,33 м²,"4,1 м²",3 м,Дубна, Курчатова,
Дубна,2,9,2,69.3,9979200,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,Дубна, Программистов,
Дубна,18,18,2,70.3,16500000,2007,Вторичка,2 лоджии,Многоуровневая,-1,-1,-1,-1,12 м²,"2,7 м",Дубна, Понтекорво,
Дубна,2,14,2,50.7,7000000,1973,Вторичка,1 лоджия,Наземная,-1,-1,-1,32 м²,8 м²,"2,7 м",Дубна, В.И. Векслера,
Дубна,1,9,2,75.1,10664200,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,Дубна, Программистов,
Дубна,3,9,2,51.0,8700000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,"28,6 м²","7,7 м²",-1,Дубна, Энтузиастов,
Дубна,9,9,2,54.3,8200000,1995,Вторичка,1 лоджия,Наземная,-1,-1,-1,30 м²,"8,1 м²","2,7 м",Дубна, Понтекорво,
Дубна,1,9,2,67.7,9613400,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,Дубна, Программистов,
Дубна,1,9,2,57.4,7800000,1976,Вторичка,1 лоджия,Наземная,-1,-1,-1,30 м²,9 м²,"2,5 м",Дубна, Энтузиастов,
Дубна,9,9,2,69.5,10147000,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,Дубна, Программистов,
Дубна,9,12,2,69.3,12000000,-1,Вторичка,2 лоджии,-1,-1,-1,-1,"41,5 м²","9,3 м²","2,73 м",Дубна,Тверская ,
Дубна,2,2,2,59.3,9700000,1952,Вторичка,1 балкон,Наземная,-1,-1,-1,"31,2 м²","10,2 м²",3 м,Дубна, Ленина,
Дубна,1,9,3,86.8,10850000,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,Дубна, Программистов,
Дубна,1,2,3,92.6,18800000,2009,Вторичка,-1,Наземная,-1,-1,-1,"56,5 м²","10,6 м²",-1,Дубна, Флотская,
Дубна,2,5,3,64.4,12700000,2004,Вторичка,1 лоджия,Наземная,-1,-1,-1,50 м²,"8,5 м²",-1,Дубна,проспект Боголюбова,
Дубна,2,14,3,94.0,11797000,2025,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,,,
Дубна,13,14,3,75.3,13200000,1982,Вторичка,1 лоджия,Наземная,-1,-1,-1,"48,8 м²","9,1 м²",-1,Дубна, Понтекорво,
Дубна,3,4,3,55.1,7600000,1956,Вторичка,1 балкон,Наземная,-1,-1,-1,37 м²,"4,5 м²",-1,Дубна, Мира,
Дубна,9,14,3,121.5,15248250,2025,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,,,
Дубна,2,5,3,73.7,15500000,1959,Вторичка,-1,Наземная,-1,-1,-1,"50,5 м²","7,8 м²",3 м,Дубна,Центральная ,
Дубна,3,9,3,56.4,7700000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,"37,7 м²","6,7 м²",-1,Дубна, Энтузиастов,
Дубна,6,14,3,126.1,15825550,2025,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,,,
Дубна,9,9,3,60.6,10500000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,"39,4 м²","7,9 м²","2,7 м",Дубна, Попова,
Дубна,2,2,3,81.0,13500000,1953,Вторичка,-1,Наземная,-1,-1,-1,52 м²,10 м²,3 м,Дубна,Центральная ,
Дубна,10,14,3,93.4,13076000,2025,Новостройка,-1,-1,-1,-1,-1,-1,-1,-1,,,
Москва,3,10,3,105.8,115430498.0,2024,Новостройка,-1,-1,Монолитный,-1,Чистовая,-1,-1,"4,6 м",Дорогомилово,,Поклонная
Москва,2,10,3,115.0,101000000.0,2008,Вторичка,-1,Подземная,-1,-1,-1,-1,45 м²,3 м,Тверской,Большая Грузинская ,Белорусская
Москва,15,23,3,82.8,39578400.0,2026,Новостройка,-1,Подземная,Монолитно-кирпичный,-1,"Без отделки, чистовая","52,1 м²",10 м²,"3,25 м",Басманный, Фридриха Энгельса,Бауманская
