location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Яхрома,1,5,2,43.7,5000000,1974,Вторичка,-1,-1,-1,-1,-1,24 м²,6 м²,-1,Яхрома, Ленина,
Яхрома,5,5,2,43.0,4100000,1977,Вторичка,1 балкон,Наземная,-1,-1,-1,28 м²,6 м²,-1,Яхрома,Большевистская ,
Яхрома,3,9,2,53.0,6100000,2013,Вторичка,1 балкон,Наземная,-1,-1,-1,22 м²,20 м²,3 м,Яхрома, Бусалова,
Яхрома,2,5,2,63.0,6150000,-1,Вторичка,2 лоджии,-1,-1,-1,-1,32 м²,9 м²,-1,Яхрома, Бусалова,
Яхрома,5,5,2,44.2,4190000,Напишите автору,Вторичка,-1,-1,-1,-1,-1,"31,2 м²","7,1 м²",-1,Яхрома, Ленина,
Яхрома,2,5,2,54.8,4400000,2022,Вторичка,1 лоджия,Наземная,-1,-1,-1,"32,5 м²",9 м²,"2,5 м",,,
Яхрома,4,5,2,44.0,5100000,-1,Вторичка,-1,-1,-1,-1,-1,"16,6 м²",7 м²,-1,Яхрома,Большевистская ,
Яхрома,1,3,-1,65.6,3300000,1929,Вторичка,-1,Наземная,-1,-1,-1,"50,8 м²","8,2 м²","2,7 м",Яхрома, Бусалова,
Яхрома,1,2,2,41.0,4400000,1969,Вторичка,-1,Наземная,-1,-1,-1,25 м²,6 м²,-1,Яхрома,Шлюзовой переулок,
Яхрома,2,2,2,37.0,3950000,1959,Вторичка,-1,Наземная,-1,-1,-1,22 м²,5 м²,"2,7 м",Яхрома, Бусалова,
Яхрома,1,5,2,44.0,4700000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Яхрома, Ленина,
Яхрома,8,9,2,45.0,4400000,1977,Вторичка,1 балкон,Наземная,-1,-1,-1,34 м²,"6,5 м²","2,65 м",Дмитров, Космонавтов,
Яхрома,1,4,1,41.4,3600000,-1,Вторичка,1 балкон,-1,-1,-1,-1,"17,7 м²","12,8 м²",-1,Дмитров,Рогачевская ,
Яхрома,9,9,2,44.0,4400000,1978,Вторичка,1 лоджия,-1,-1,-1,-1,-1,6 м²,-1,Дмитров,Инженерная ,
Яхрома,3,5,2,475.0,4799000,1977,Вторичка,1 балкон,Наземная,-1,-1,-1,33 м²,7 м²,-1,,,
Воскресенск,4,5,1,35.2,3590400,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,3 м,Воскресенск, Ломоносова,
Воскресенск,2,5,1,31.0,3300000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,"2,6 м",Центральный мкр, Победы,
Воскресенск,1,5,1,32.3,2000000,-1,Вторичка,-1,-1,-1,-1,-1,20 м²,7 м²,-1,Воскресенск, Калинина,
Воскресенск,4,5,1,34.3,4116000,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,3 м,Воскресенск, Ломоносова,
Воскресенск,5,5,1,32.0,2600000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,"2,6 м",Новлянский мкр, Новлянская,
Воскресенск,1,5,1,30.4,2300000,1972,Вторичка,-1,Наземная,-1,-1,-1,18 м²,6 м²,-1,Москворецкий мкр, Спартака,
Воскресенск,4,5,1,47.2,4720000,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,3 м,Воскресенск, Ломоносова,
Воскресенск,1,3,1,38.0,3100000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,8 м²,"2,6 м",Колыберево мкр, 8 Марта,
Воскресенск,6,14,1,39.0,4100000,-1,Вторичка,2 лоджии,Наземная,-1,-1,-1,20 м²,10 м²,"2,7 м",Воскресенск, Ломоносова,
Воскресенск,1,5,1,43.4,4383400,2024,Новостройка,-1,-1,-1,-1,-1,-1,-1,3 м,Воскресенск, Ломоносова,
Воскресенск,2,5,1,32.0,3300000,1968,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,"2,48 м",Лопатинский мкр, Комсомольская,
Воскресенск,3,5,1,30.5,3400000,-1,Вторичка,-1,-1,-1,-1,-1,18 м²,6 м²,-1,Центральный мкр, Менделеева,
Воскресенск,3,5,1,16.6,1700000,-1,Вторичка,-1,-1,-1,-1,-1,"8,6 м²",3 м²,-1,Лопатинский мкр, Комсомольская,
Воскресенск,5,5,1,33.1,3600000,-1,Вторичка,1 балкон,-1,-1,-1,-1,18 м²,8 м²,-1,Москворецкий мкр, Спартака,
Талдом,2,5,1,29.0,3250000,-1,Вторичка,1 балкон,-1,-1,-1,-1,15 м²,6 м²,-1,,,
Талдом,3,3,1,38.0,3420000,-1,Вторичка,-1,Наземная,-1,-1,-1,20 м²,10 м²,-1,Талдом, Новая,
Талдом,1,2,1,23.0,830000,-1,Вторичка,-1,-1,-1,-1,-1,-1,6 м²,-1,Талдом, Кустарная,
Талдом,2,3,1,34.0,3450000,2017,Вторичка,1 балкон,-1,-1,-1,-1,11 м²,"10,5 м²","2,8 м",Талдом, Новая,
Талдом,4,5,1,39.0,3670000,1988,Вторичка,1 балкон,-1,-1,-1,-1,17 м²,7 м²,"2,7 м",Талдом, Мичурина,
Талдом,4,5,1,30.0,2400000,1968,Вторичка,1 балкон,Наземная,-1,-1,-1,17 м²,7 м²,-1,,,
Талдом,2,5,1,38.5,3500000,1989,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,"7,5 м²",-1,,,
Талдом,5,5,1,39.4,3300000,1985,Вторичка,1 балкон,Наземная,-1,-1,-1,"18,7 м²","7,5 м²",-1,,,
Талдом,1,5,1,29.2,2850000,1981,Вторичка,-1,Наземная,-1,-1,-1,"15,2 м²","6,7 м²","2,7 м",,,
Талдом,5,5,1,29.0,2850000,1969,Вторичка,1 балкон,-1,-1,-1,-1,17 м²,6 м²,"2,5 м",Талдом, Шишунова,
Талдом,3,5,1,34.0,3500000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,6 м²,"2,8 м",,,
Талдом,4,5,1,30.0,3500000,1973,Вторичка,1 балкон,-1,-1,-1,-1,"16,4 м²","7,5 м²","2,8 м",,,
Талдом,1,3,-1,33.6,2399000,2011,Вторичка,-1,Наземная,-1,-1,-1,-1,18 м²,-1,Дмитров, Веретенникова,
Талдом,5,9,-1,17.0,1380000,1966,Вторичка,1 балкон,-1,-1,-1,-1,-1,-1,-1,Дмитров,Московская ,
Талдом,2,2,2,60.0,3000000,1952,Вторичка,-1,Наземная,-1,-1,-1,35 м²,7 м²,3 м,Запрудня рп,переулок Мира,
Талдом,3,3,2,66.8,4500000,2015,Вторичка,-1,Наземная,-1,-1,-1,"21,2 м²","25,6 м²",-1,с. Темпы, Шоссейная,
Талдом,2,5,1,29.3,1700000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,"15,2 м²","6,4 м²",-1,,,
Талдом,3,5,-1,48.1,1400000,-1,Вторичка,1 балкон,-1,-1,-1,-1,"31,4 м²","6,2 м²",-1,Дмитров,Комсомольская ,
Талдом,11,13,1,28.2,2700000,2023,Вторичка,1 балкон,Подземная,-1,-1,-1,16 м²,5 м²,"2,8 м",д. Целеево, Пятиречье,
Талдом,4,5,2,45.0,3600000,-1,Вторичка,-1,-1,-1,-1,-1,30 м²,7 м²,-1,Запрудня рп, Карла Маркса,
Талдом,1,3,2,57.0,4100000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,20 м²,8 м²,-1,с. Темпы, Водников,
Талдом,1,4,1,33.6,2100000,1975,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,6 м²,-1,,,
Талдом,5,5,2,30.0,1990000,-1,Вторичка,-1,Наземная,-1,-1,-1,"16,6 м²",10 м²,-1,,,
Талдом,4,5,1,28.5,2700000,1973,Вторичка,1 балкон,-1,-1,-1,-1,-1,-1,-1,Вербилки рп, Забырина,
Талдом,2,3,2,47.7,2970000,1930,Вторичка,-1,Наземная,-1,-1,-1,"29,7 м²",13 м²,"2,6 м",Колыберево мкр, Дзержинского,
Руза,5,9,1,32.7,4100000,1985,Вторичка,1 лоджия,Наземная,-1,-1,-1,16 м²,7 м²,-1,Руза,Федеративная ,
Руза,5,7,1,50.4,5200000,2023,Вторичка,1 лоджия,Наземная,-1,-1,-1,"20,9 м²",-1,"2,55 м",Северное сияние мкр, Вишневая,
Руза,4,5,1,31.0,3750000,1981,Вторичка,1 балкон,Наземная,-1,-1,-1,"17,1 м²","6,1 м²","2,55 м",Руза,Социалистическая ,
Руза,9,9,1,32.1,3800000,1989,Вторичка,1 балкон,-1,-1,-1,-1,"15,9 м²","7,2 м²",-1,Руза, Солнцева,
Руза,8,10,1,50.8,4300000,2020,Вторичка,2 балкона,Наземная,-1,-1,-1,21 м²,15 м²,-1,Северное сияние мкр, Вишневая,
Руза,1,5,1,35.4,4400000,1993,Вторичка,1 лоджия,Наземная,-1,-1,-1,"17,5 м²","7,5 м²","2,5 м",Руза,Федеративная ,
Руза,3,3,1,34.5,4800000,2016,Вторичка,-1,Наземная,-1,-1,-1,"19,3 м²","10,2 м²",-1,Руза,Прирецкая ,
Руза,1,5,1,36.0,4899000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,-1,"7,5 м²",-1,Руза,Федеративная ,
Руза,5,5,1,40.2,4150000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,"9,9 м²","12,7 м²","2,5 м",Северное сияние мкр, Вишневая,
Руза,3,9,1,33.5,4870000,1987,Вторичка,1 балкон,Подземная,-1,-1,-1,"17,7 м²","6,4 м²",-1,Руза,Федеративная ,
Руза,1,6,1,39.0,3999999,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Руза,Революционная ,
Руза,7,7,1,50.0,3800000,2023,Новостройка,2 балкона,-1,-1,-1,Без отделки,-1,-1,-1,Северное сияние мкр, Вишневая,
Руза,3,5,1,31.0,3900000,1975,Вторичка,1 балкон,-1,-1,-1,-1,"16,5 м²",6 м²,"2,5 м",,,
Руза,2,5,1,37.3,4400000,1989,Вторичка,1 балкон,Наземная,-1,-1,-1,19 м²,"9,7 м²","2,6 м",Руза, Гладышева,
Руза,1,1,1,29.0,4500000,-1,Вторичка,-1,Наземная,-1,-1,-1,16 м²,5 м²,-1,Руза,Почтовая ,
Руза,2,5,1,33.3,5100000,1984,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,6 м²,"2,5 м",Руза,Революционная ,
Руза,2,11,1,46.0,7100000,2015,Вторичка,1 лоджия,Наземная,-1,-1,-1,"15,5 м²","15,2 м²","2,7 м",Руза,Федеративная ,
Руза,8,9,1,41.3,7200000,2015,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,15 м²,4 м,Руза,Федеративная ,
Руза,5,6,2,49.0,4500000,-1,Вторичка,1 балкон,-1,-1,-1,-1,"30,3 м²","8,6 м²","2,55 м",,,
Руза,4,9,2,50.8,5499999,2023,Вторичка,1 лоджия,Наземная,-1,-1,-1,25 м²,7 м²,"2,85 м",Тучково рп, Москворецкая,
Руза,5,9,2,66.0,7450000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Тучково рп, Москворецкая,
Руза,4,4,1,30.0,3850000,Напишите автору,Вторичка,1 лоджия,Наземная,-1,-1,-1,18 м²,9 м²,"2,7 м",,,
Руза,4,7,1,37.2,3550000,2023,Вторичка,1 лоджия,Наземная,-1,-1,-1,"25,3 м²","7,6 м²",-1,Тучково рп, Москворецкая,
Реутов,15,25,1,27.0,7200000,2013,Вторичка,1 лоджия,Наземная,-1,-1,-1,16 м²,6 м²,"2,8 м",,Юбилейный проспект,Никольское
Реутов,16,17,1,39.4,11500000,2012,Вторичка,1 лоджия,Наземная,-1,-1,-1,"18,9 м²","9,8 м²","2,67 м",, Имени Академика В.Н. Челомея,Новокосино
Реутов,5,9,1,34.0,7600000,1970,Вторичка,1 балкон,-1,-1,-1,-1,20 м²,"6,5 м²","2,6 м",, Калинина,Реутов
Реутов,16,16,1,34.5,8500000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,"19,5 м²","9,6 м²",-1,, Дзержинского,Реутов
Реутов,23,25,1,29.0,6500000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,"15,9 м²",3 м²,"2,8 м",,Юбилейный проспект,Новокосино
Реутов,20,25,1,55.7,12700000,2016,Вторичка,1 лоджия,Подземная,-1,-1,-1,12 м²,21 м²,"3,2 м",, Реутовских ополченцев,Реутов
Реутов,17,25,1,44.0,11950000,2015,Вторичка,1 лоджия,Наземная,-1,-1,-1,20 м²,11 м²,-1,,Юбилейный проспект,Никольское
Реутов,22,25,1,43.0,10800000,2018,Вторичка,1 балкон,Наземная,-1,-1,-1,20 м²,10 м²,"2,75 м",, Октября,Никольское
Реутов,10,14,1,40.0,9700000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,мкр. Северный Реутов, Победы,
Реутов,9,17,1,42.4,12500000,2005,Вторичка,1 лоджия,Наземная,-1,-1,-1,"29,1 м²","10,8 м²","2,5 м",, Гагарина,Реутов
Реутов,4,20,1,38.35,8487000,2024,Новостройка,-1,-1,-1,-1,Без отделки,-1,-1,"2,8 м",,проспект Мира,Реутов
Реутов,16,25,1,40.0,10500000,2012,Вторичка,1 лоджия,Наземная,-1,-1,-1,18 м²,9 м²,"2,7 м",,Носовихинское шоссе,Новокосино
Реутов,13,17,1,35.0,7699000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,20 м²,5 м²,"2,7 м",,Юбилейный проспект,Никольское
Реутов,14,20,1,38.85,8597000,2024,Новостройка,-1,-1,-1,-1,Без отделки,-1,-1,"2,8 м",,проспект Мира,Реутов
Реутов,6,9,1,21.1,5500000,1975,Вторичка,-1,Наземная,-1,-1,-1,13 м²,"3,2 м²","2,64 м",, Победы,Реутов
Краснозаводск,9,9,1,37.0,2800000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Краснозаводск, 50 лет Октября,
Краснозаводск,3,5,1,30.6,2800000,1976,Вторичка,1 балкон,Наземная,-1,-1,-1,"16,7 м²","6,2 м²",-1,Краснозаводск,Новая ,
Краснозаводск,3,5,1,29.4,3150000,1971,Вторичка,1 балкон,-1,-1,-1,-1,"16,2 м²","6,3 м²",-1,Краснозаводск,Театральная ,
Краснозаводск,2,5,1,33.2,3550000,1980,Вторичка,1 лоджия,Наземная,-1,-1,-1,"17,8 м²","7,4 м²","2,6 м",Краснозаводск,1 Мая ,
Краснозаводск,2,2,1,29.6,2699000,-1,Вторичка,-1,Наземная,-1,-1,-1,"18,1 м²","5,2 м²",-1,Краснозаводск,1 Мая ,
Краснозаводск,1,5,1,53.3,3400000,1975,Вторичка,-1,Наземная,-1,-1,-1,25 м²,"9,5 м²","2,6 м",Краснозаводск,Театральная ,
Краснозаводск,3,9,1,38.0,3300000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,19 м²,8 м²,-1,Краснозаводск, 50 лет Октября,
Краснозаводск,3,4,1,35.5,2800000,1958,Вторичка,-1,Наземная,-1,-1,-1,"18,8 м²","7,6 м²",3 м,Краснозаводск,1 Мая ,
Краснозаводск,3,3,1,33.4,3850000,2018,Вторичка,"1 лоджия, 1 балкон",Наземная,-1,-1,-1,-1,12 м²,"2,8 м",Краснозаводск,Театральная ,
Краснозаводск,3,4,1,40.5,4550000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,18 м²,12 м²,-1,Краснозаводск,1 Мая ,
Краснозаводск,4,5,2,43.4,2750000,1976,Вторичка,1 балкон,Наземная,-1,-1,-1,"27,9 м²","5,7 м²","2,5 м",Фряново рп, Первомайская,
Краснозаводск,3,5,1,29.5,3500000,1975,Вторичка,1 балкон,-1,-1,-1,-1,"17,6 м²",6 м²,-1,мкр. Скобяной,Центральная ,
Краснозаводск,1,3,2,52.3,2877840,2014,Вторичка,-1,-1,-1,-1,-1,-1,8 м²,3 м,Сергиев Посад,Фестивальная ,
Краснозаводск,3,5,1,39.0,2250000,1987,Вторичка,1 лоджия,Наземная,-1,-1,-1,18 м²,"7,3 м²",-1,,,
Краснозаводск,1,1,3,54.1,2000000,1972,Вторичка,-1,-1,-1,-1,-1,"26,7 м²",-1,-1,с. Муханово, Центральная,
Краснозаводск,1,5,2,44.0,2200000,-1,Вторичка,-1,Наземная,-1,-1,-1,-1,-1,-1,,,
Краснозаводск,3,3,2,36.0,2600000,1977,Вторичка,1 балкон,-1,-1,-1,-1,-1,"6,1 м²",-1,,,
Краснозаводск,6,9,-1,17.8,1990000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,мкр. Северный, Энгельса,
Краснозаводск,4,5,2,55.5,2900000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,32 м²,7 м²,-1,,,
Краснозаводск,10,17,1,28.0,3000000,2023,Вторичка,1 лоджия,Наземная,-1,-1,-1,18 м²,7 м²,"2,8 м",Красноармейск, Новая Жизнь,
Краснозаводск,4,5,1,36.0,2990000,1972,Вторичка,-1,Наземная,-1,-1,-1,25 м²,3 м²,"2,5 м",Фряново рп, Лепешкина,
Краснозаводск,4,5,1,28.5,2700000,1973,Вторичка,1 балкон,-1,-1,-1,-1,-1,-1,-1,Вербилки рп, Забырина,
Краснозаводск,4,5,1,44.2,3100000,1988,Вторичка,-1,-1,-1,-1,-1,29 м²,8 м²,-1,Хотьково,Октябрьская ,
Краснозаводск,2,2,2,48.8,2900000,1958,Вторичка,-1,-1,-1,-1,-1,30 м²,"6,6 м²",3 м,Хотьково,Первомайская ,
Краснозаводск,6,9,1,34.5,3000000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,"20,7 м²",6 м²,"2,5 м",,,
Одинцово,2,24,1,36.3,,2025,Новостройка,-1,Подземная,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая","21,8 м²",-1,"2,8 м",,,Одинцово
Люберцы,4,24,1,24.5,8583281,2023,Новостройка,1 балкон,Подземная,"Панельный, монолитный",-1,"Предчистовая, чистовая","9,6 м²",-1,"2,7 м",, Рождественская,Люберцы
Люберцы,2,4,-1,22.0,4070000,-1,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,19 м²,2 м²,"3,3 м",,Октябрьский проспект,Панки
Люберцы,2,9,1,25.2,4950000,2018,Вторичка,-1,-1,-1,-1,-1,"14,2 м²",6 м²,"2,7 м",, Юности,Лухмановская
Люберцы,15,25,1,22.1,6751550,2025,Новостройка,-1,Многоуровневая,Монолитный,-1,"Без отделки, предчистовая, черновая","14,6 м²","2,5 м²","2,92 м",,,Лухмановская
Люберцы,3,26,1,25.7,5100000,2023,Вторичка,-1,Подземная,-1,-1,-1,"12,9 м²","3,6 м²",-1,, Солнечная,Люберцы
Люберцы,7,25,1,24.5,5450000,2018,Вторичка,1 балкон,-1,-1,-1,-1,"21,6 м²",-1,"2,7 м",, Юности,Лухмановская
Люберцы,25,25,1,28.6,8437000,2025,Новостройка,-1,Многоуровневая,Монолитный,-1,"Без отделки, предчистовая, черновая","18,2 м²","5,4 м²","2,92 м",,,Лухмановская
Люберцы,5,9,1,26.8,6500000,2018,Вторичка,1 лоджия,Наземная,-1,-1,-1,"14,2 м²",6 м²,"2,7 м",, Юности,Лухмановская
Люберцы,2,25,-1,25.0,5999999,2023,Вторичка / Апартаменты,-1,Подземная,-1,-1,-1,-1,-1,-1,, Солнечная,Люберцы
Люберцы,17,17,-1,19.2,5146392,2024,Новостройка / Апартаменты,-1,Открытая,Монолитный,-1,"Без отделки, чистовая",8 м²,"3,9 м²","2,8 м",,,Некрасовка
Люберцы,17,25,1,20.0,7000000,2022,Вторичка,-1,-1,-1,-1,-1,-1,-1,"2,84 м",, Юности,Некрасовка
Люберцы,6,17,1,29.0,5600000,2015,Вторичка,1 лоджия,-1,-1,-1,-1,18 м²,5 м²,"2,8 м",, Барыкина,Некрасовка
Люберцы,12,25,1,20.0,4499999,2023,Вторичка,-1,-1,-1,-1,-1,"9,1 м²","3,3 м²",-1,, Солнечная,Люберцы
Люберцы,10,18,-1,24.6,5200000,-1,Вторичка / Апартаменты,-1,-1,-1,-1,-1,-1,-1,"2,5 м",,проезд Некрасовский,Некрасовка
Ивантеевка,2,5,1,65.7,24860880,2015,Новостройка / Апартаменты,-1,-1,-1,-1,Чистовая,"46,9 м²",-1,-1,,,
Ивантеевка,9,40,1,41.5,32000000,-1,Вторичка,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",-1,Хорошевский,Ленинградский проспект,ЦСКА
Ивантеевка,9,14,1,38.5,7000000,1993,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,8 м²,"2,64 м",Крюково,Зеленоград,Зеленоград — Крюково
Ивантеевка,2,20,1,25.04,10141200,2026,Новостройка,1 лоджия,-1,Монолитный,-1,"Предчистовая, чистовая","10,9 м²","4,4 м²",-1,,,
Ивантеевка,13,41,1,41.5,31000000,-1,Вторичка,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",-1,Хорошевский,Ленинградский проспект,Аэропорт
Ивантеевка,11,12,1,33.5,8000000,1972,Вторичка,1 балкон,Наземная,-1,-1,-1,17 м²,7 м²,"2,5 м",Чертаново Южное,3-й Дорожный проезд,Улица Академика Янгеля
Ивантеевка,8,10,1,22.2,26140500,2025,Новостройка / Апартаменты,-1,-1,-1,-1,Без отделки,"15,5 м²",-1,-1,Адлерский,Адлер жилрайон,
Ивантеевка,3,20,1,59.0,61800000,2023,Новостройка,-1,Подземная,-1,-1,-1,39 м²,15 м²,3 м,Пресненский, Костикова,Улица 1905 года
Ивантеевка,4,7,1,31.1,6000000,-1,Вторичка,1 балкон,-1,-1,-1,-1,17 м²,6 м²,-1,Калининский,проспект Науки,Академическая
Ивантеевка,2,13,1,38.3,12928244,2027,Новостройка,-1,-1,-1,-1,Черновая,-1,-1,"2,85 м",,,
Ивантеевка,10,10,1,38.5,11280000,1994,Вторичка,1 лоджия,-1,-1,-1,-1,"20,7 м²","8,4 м²",-1,Выхино-Жулебино,Жулебинский бульвар,Лермонтовский проспект
Ивантеевка,6,11,1,35.0,6990000,1984,Вторичка,1 балкон,Открытая,-1,-1,-1,"16,8 м²","7,5 м²",-1,Василеостровский,Морская набережная,Приморская
Ивантеевка,5,10,1,37.0,7400000,2021,Вторичка,1 балкон,-1,-1,-1,-1,-1,8 м²,"2,8 м",Пятигорск, Адмиральского,
Ивантеевка,3,3,1,47.7,4841550,2020,Новостройка,-1,-1,-1,-1,Предчистовая,-1,10 м²,"2,8 м",Прикубанский, Имени Валерия Вишневецкого,
Ивантеевка,22,22,1,20.0,9770000,1980,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,16 м²,3 м²,"2,65 м",Тропарево-Никулино,Ленинский проспект,Юго-Западная
Ивантеевка,4,4,1,42.1,19000000,2022,Вторичка / Апартаменты,-1,Подземная,-1,-1,-1,"15,2 м²",10 м²,-1,Басманный, Казакова,Курская
Ивантеевка,2,21,1,36.87,5320000,2026,Новостройка,1 балкон,-1,"Монолитно-кирпичный, монолитный, кирпичный",-1,Предчистовая,"10,6 м²","16,6 м²","2,7 м",,,
Ивантеевка,4,8,1,57.0,68900000,2023,Вторичка,-1,Подземная,-1,-1,-1,18 м²,24 м²,-1,Таганский,Тессинский переулок,Чкаловская
Ивантеевка,23,27,1,38.4,15300000,-1,Вторичка,-1,-1,-1,-1,-1,"24,4 м²",9 м²,-1,Западное Дегунино, Летчика Осканова,Верхние Лихоборы
Ивантеевка,4,12,1,33.7,5560500,2024,Новостройка,1 балкон,-1,-1,-1,Предчистовая,-1,"9,8 м²","2,72 м",Прикубанский, Им. Мурата Ахеджака,
Ивантеевка,2,3,1,38.2,4624000,2025,Новостройка,-1,-1,-1,-1,Предчистовая,-1,-1,"2,7 м",посёлок Берёзовый, имени А.Н. Лодыгина.,
Ивантеевка,4,17,1,36.4,3203200,2026,Новостройка,-1,-1,-1,-1,Предчистовая,"14,7 м²",8 м²,"2,72 м",Октябрьский, Минская,
Ивантеевка,16,16,1,40.0,12300000,1982,Вторичка,1 балкон,-1,-1,-1,-1,19 м²,8 м²,-1,Западное Дегунино, Маршала Федоренко,Ховрино
Ивантеевка,2,9,1,47.3,56760000,2025,Новостройка / Апартаменты,1 балкон,-1,Монолитно-кирпичный,-1,-,-1,1 м²,-1,,,
Ивантеевка,2,5,1,30.0,5200000,1965,Вторичка,-1,Наземная,-1,-1,-1,"17,1 м²",7 м²,"2,5 м",Центральный, Коммунаров,
Ивантеевка,2,5,1,39.1,3600000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,20 м²,10 м²,"2,5 м",пос. Опытного хозяйства Ермолино, Центральная,
Ивантеевка,1,16,1,26.7,3650200,2027,Новостройка,-1,-1,Кирпичный,-1,Без отделки,"10,2 м²","8,4 м²","2,5 м",Московский,,
Ивантеевка,1,4,1,40.39,3069640,2025,Новостройка,-1,-1,-1,-1,Без отделки,"16,4 м²","10,8 м²","2,6 м",,,
Ивантеевка,1,5,1,30.7,3100000,-1,Вторичка,-1,-1,-1,-1,-1,"17,7 м²","5,7 м²","2,55 м",Дзержинский, Твардовского,
Ивантеевка,2,16,1,38.0,4000000,2015,Вторичка,1 балкон,-1,-1,-1,-1,"18,4 м²","9,6 м²",-1,Имени Н.И. Вавилова мкр, Вавилова,
Ивантеевка,3,16,1,36.1,5157000,2025,Новостройка,1 лоджия,-1,-1,-1,Под ключ,"12,9 м²","10,8 м²","2,74 м",,,
Ивантеевка,1,10,1,42.98,5200580,2025,Новостройка,-1,-1,Панельный,-1,Чистовая,"18,5 м²","10,4 м²","2,8 м",Заводский,Южный мкр,
Ивантеевка,6,26,1,26.31,6709050,2025,Новостройка,-1,-1,Монолитно-кирпичный,-1,Предчистовая,"12,1 м²",-1,"2,6 м",Советский,Революционная ,
Ивантеевка,25,25,1,45.9,9867700,2023,Новостройка,-1,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","15,2 м²","15,6 м²","2,7 м",Советский, Пархоменко,
Ивантеевка,1,2,1,30.7,2650000,1962,Вторичка,-1,-1,-1,-1,-1,18 м²,6 м²,"2,5 м",мкр. Предместье Радищево, Нестерова,
Ивантеевка,3,5,1,33.5,4200000,1996,Вторичка,1 лоджия,-1,-1,-1,-1,"17,2 м²",8 м²,"2,5 м",Ильинский рп, Октябрьская,
Ивантеевка,13,16,1,32.4,4250000,2021,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,"8,4 м²",-1,Заводский,Пролетарская ,
Ивантеевка,3,23,1,32.6,6199700,2027,Новостройка,-1,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",-1,-1,"2,73 м",,,Чкаловская
Ивантеевка,2,7,1,43.23,6354810,2026,Новостройка,-1,-1,-1,-1,С отделкой,-1,-1,"2,7 м",,,
Ивантеевка,11,13,1,38.44,8841200,2025,Новостройка,1 лоджия,-1,-1,-1,Черновая,"16,9 м²","10,6 м²","2,7 м",,,
Ивантеевка,2,9,1,45.15,20809635,2026,Новостройка / Апартаменты,-1,Подземная,-1,-1,Без отделки,"33,1 м²",7 м²,-1,Массандра пгт, Мухина,
Ивантеевка,14,29,1,42.3,21000000,-1,Вторичка / Апартаменты,-1,Подземная,-1,-1,-1,25 м²,12 м²,-1,Фили-Давыдково, Ивана Франко,Кунцевская
Ивантеевка,2,8,2,66.0,22622160.0,2015,Новостройка / Апартаменты,-1,-1,-1,-1,Чистовая,50 м²,-1,-1,,,
Ивантеевка,5,6,2,43.0,26900000.0,2016,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,-1,-1,-1,Беговой, 3-я Ямского Поля,Белорусская
