location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,floor_ismissing,floors_count_ismissing,rooms_count_ismissing,total_meters_ismissing,price_ismissing,year_of_construction_ismissing,location_ismissing,object_type_ismissing,have_loggia_ismissing,parking_type_ismissing,house_material_type_ismissing,heating_type_ismissing,finish_type_ismissing,living_meters_ismissing,kitchen_meters_ismissing,ceiling_height_ismissing,district_ismissing,street_ismissing,underground_ismissing
Серпухов,2,5,2,47.5,2600000,2016,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,28 м²,6 м²,"2,4 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True
Серпухов,2,3,1,27.0,2500000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,19 м²,3 м²,"2,5 м",Красный Текстильщик мкр, Красный Текстильщик,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,True
Серпухов,6,6,1,38.9,2800000,2010,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,16 м²,10 м²,"2,8 м",д. Городище, Молодежная,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,2,5,1,29.0,3100000,1964,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,19 м²,6 м²,"2,5 м",Серпухов,переулок 1-й Оборонный,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True
Серпухов,1,2,3,141.9,3081000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов,Калужская ,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,8,10,3,64.0,7450000,1992,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,9 м²,"2,8 м",Серпухов,Звездная ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True
Серпухов,8,9,3,60.0,6600000,1975,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,40 м²,9 м²,"2,6 м",Серпухов, Ворошилова,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,3,10,3,62.1,7300000,1992,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,45 м²,9 м²,"2,8 м",Серпухов,Звездная ,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,3,5,3,67.2,7999000,2016,Вторичка,3 лоджии,Наземная,Монолитно-кирпичный,heating_type,Без отделки,50 м²,10 м²,"2,7 м",Серпухов, Ивана Болотникова,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
Серпухов,7,24,3,77.6,12700000,2011,Вторичка / Апартаменты,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,5 м²,"2,7 м",Серпухов,Борисовское шоссе,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True
Серпухов,6,9,3,62.0,7350000,1986,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,44 м²,8 м²,"2,65 м",Серпухов, Пушкина,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,5,10,3,63.0,7600000,1994,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,8 м²,"2,7 м",Серпухов,Новая ,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True
Серпухов,1,5,3,57.9,5750000,1969,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,5 м²,"2,7 м",Серпухов,Центральная ,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True
Серпухов,1,2,3,56.0,5490000,1956,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,40 м²,6 м²,"2,8 м",Серпухов, Захаркина,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,7,10,3,65.0,8800000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов,Весенняя ,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,2,5,3,54.0,5400000,1966,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,39 м²,6 м²,"2,7 м",Серпухов, Лермонтова,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True
Серпухов,1,5,3,67.0,8300000,1973,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,41 м²,9 м²,"2,5 м",Серпухов, Космонавтов,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,4,5,2,45.5,5380000,1971,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"32,5 м²",6 м²,"2,6 м",Серпухов,Советская ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,1,1,2,46.0,3650000,1957,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов, Водников,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True
Серпухов,7,9,2,42.9,4500000,1971,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"27,4 м²","5,7 м²","2,5 м",Серпухов, Дзержинского,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,2,14,2,38.4,6700000,2013,Вторичка,2 лоджии,Наземная,Монолитно-кирпичный,heating_type,Без отделки,17 м²,11 м²,"2,7 м",Серпухов, Ворошилова,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
Серпухов,1,9,2,48.0,4200000,1981,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,11 м²,"2,7 м",Серпухов,проезд Мишина,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True
Серпухов,2,2,2,71.3,6700000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,28 м²,8 м²,"2,7 м",Серпухов,Советская ,Щёлковская,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True
Серпухов,2,5,2,47.0,4999999,1972,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,33 м²,"7,5 м²","2,7 м",Серпухов, Ворошилова,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,4,14,2,64.0,9200000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,39 м²,"13,5 м²","2,7 м",Серпухов,Стадионная ,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,1,2,2,40.0,3700000,1959,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,27 м²,5 м²,"2,5 м",Серпухов,Октябрьская ,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,2,5,2,47.0,4050000,1971,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,34 м²,"6,5 м²","2,6 м",Серпухов,Подольская ,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
